stname,Unnamed: 0,area,elev,east,north
D09A002,0,61.7,1210,31.09111111111111,37.71166666666667
D09A006,1,195.0,38,32.61666666666667,36.55
D09A011,2,130.7,1190,30.05,37.13333333333333
D09A013,3,195.0,33,32.61666666666667,36.55
D09A042,5,48.7,0,30.52972222222222,37.64388888888889
D09A056,6,1781.5,96,30.75583333333333,36.93861111111111
D09A057,7,185.0,945,30.95444444444444,38.29944444444444
D09A060,8,111.2,925,30.89861111111111,37.83944444444445
D09A065,9,103.48,1160,31.13277777777778,38.39055555555556
D09A067,10,303.2,100,31.62277777777778,36.74388888888889
D09A075,12,988.96,940,30.98333333333333,38.13333333333333
D09A084,14,45.4,100,32.06666666666667,36.58333333333334
D09A086,15,349.0,0,31.12416666666667,37.62472222222222
D09A088,16,130.9,0,31.97805555555555,37.4775
D09A089,17,313.9,0,30.90833333333333,37.46388888888889
D09A095,19,164.0,160,30.46722222222222,36.825
D09A100,20,223.0,1067,31.15638888888889,37.66027777777778
D09A104,22,12.75,403,30.73416666666667,37.20277777777778
D09A111,25,105.8,145,38.50138888888889,36.89166666666667
D09A034,4,238.6,63,30.94222222222222,37.13166666666667
D09A039,5,217.7,829,30.3725,37.51222222222222
D09A068,12,336.32,16,31.81416666666667,36.62444444444444
D09A101,24,2330.0,20,31.2,36.97444444444444
