stname,Unnamed: 0,area,elev,east,north
D08A009,0,3280.0,815.0,29.33333333333333,37.31666666666667
D08A018,1,126.2,1091.0,29.66694444444445,37.21777777777778
D08A049,4,222.2,208.0,30.11666666666667,36.45
D08A061,6,260.2,1030.0,29.8,36.73333333333333
D08A067,7,444.99,1390.0,29.78722222222222,37.05555555555555
D08A070,8,372.8,1018.0,29.45833333333333,37.03972222222222
D08A071,9,119.2,80.0,30.50861111111111,36.59583333333334
D08A081,16,840.3,956.0,29.58861111111111,37.15194444444445
D08A083,17,93.6,93.0,29.48333333333333,36.4
D08A084,18,17.13,665.0,28.45,37.2
D08A087,20,141.0,115.0,27.8,37.16666666666666
D08A091,23,802.0,190.0,29.38333333333333,36.75
D08A098,28,30.5,25.0,27.78333333333333,37.36666666666667
D08A100,29,21.0,1280.0,29.66666666666667,36.61666666666667
D08A101,30,70.9,25.0,27.76666666666667,37.36666666666667
D08A103,31,1752.0,0.0,29.51666666666667,37.25
D08A109,37,8.2,1035.0,29.16666666666667,36.85
D08A112,38,34.7,120.0,27.81666666666667,37.15
