,stname,area,elev,east,north
0,D08A009,3280.0,815.0,29.33333333333333,37.31666666666667
1,D08A018,126.2,1091.0,29.66694444444445,37.21777777777778
2,D08A019,145.0,66.0,27.83333333333333,37.33333333333334
3,D08A028,2461.0,9.0,29.31666666666667,36.36666666666667
4,D08A049,222.2,208.0,30.11666666666667,36.45
5,D08A054,86.6,1142.0,29.87972222222222,37.1025
6,D08A061,260.2,1030.0,29.8,36.73333333333333
7,D08A067,444.99,1390.0,29.78722222222222,37.05555555555555
8,D08A070,372.8,1018.0,29.45833333333333,37.03972222222222
9,D08A071,119.2,80.0,30.50861111111111,36.59583333333334
10,D08A072,4301.0,208.0,29.0,36.96666666666667
11,D08A073,4184.0,295.0,29.03333333333333,37.0
12,D08A074,3932.0,580.0,29.08333333333333,37.08333333333334
13,D08A075,20.56,960.0,29.60861111111111,37.10138888888889
14,D08A078,45.16,1254.0,29.51222222222222,36.555
15,D08A079,117.0,950.0,29.59138888888889,37.27833333333333
16,D08A081,840.3,956.0,29.58861111111111,37.15194444444445
17,D08A083,93.6,93.0,29.48333333333333,36.4
18,D08A084,17.13,665.0,28.45,37.2
19,D08A085,580.0,25.0,28.56666666666667,36.98333333333333
20,D08A087,141.0,115.0,27.8,37.16666666666666
21,D08A089,194.0,15.0,29.08333333333333,36.75
22,D08A090,214.0,93.07,28.4,36.5
23,D08A091,802.0,190.0,29.38333333333333,36.75
24,D08A092,626.0,0.0,29.72916666666666,37.10277777777778
25,D08A095,196.2,0.0,0.0,0.0
26,D08A096,49.5,50.0,27.83333333333333,37.3
27,D08A097,41.5,50.0,27.63333333333333,37.43333333333333
28,D08A098,30.5,25.0,27.78333333333333,37.36666666666667
29,D08A100,21.0,1280.0,29.66666666666667,36.61666666666667
30,D08A101,70.9,25.0,27.76666666666667,37.36666666666667
31,D08A103,1752.0,0.0,29.51666666666667,37.25
32,D08A104,34.5,1100.0,29.35,37.38333333333333
33,D08A105,40.5,1565.0,29.61666666666667,37.4
34,D08A106,8.0,1340.0,29.65,36.95
35,D08A107,41.0,1385.0,29.61666666666667,36.95
36,D08A108,635.6,1095.0,29.5,36.81666666666667
37,D08A109,8.2,1035.0,29.16666666666667,36.85
38,D08A112,34.7,120.0,27.81666666666667,37.15
39,D08A115,89.0,25.0,28.28333333333333,36.45
40,D08A120,46.3,475.0,27.88333333333333,37.43333333333333
41,D08A121,66.2,35.0,27.65,37.11666666666667
42,D08A124,680.4,100.0,30.23611111111111,36.42833333333333
43,D08A126,9.53,1685.0,29.88694444444445,36.89666666666667
40,D08A128,23.98,188.0,30.35472222222223,36.42111111111111
41,D08A129,11.05,200.0,30.35833333333333,36.40833333333333
32,D08A127,6.33,0.0,0.0,0.0
35,D08A140,69.0,900.0,29.30111111111111,37.32916666666667
34,D08A134,6.66,0.0,30.35722222222222,36.35555555555555
35,D08A135,11.47,1292.0,30.06194444444445,36.91833333333333
36,D08A136,15.47,0.0,29.72833333333333,36.65
35,D08A131,9.66,77.0,30.43555555555556,36.38555555555556
18,D08A099,28.3,49.0,27.65,37.41666666666666
34,D08A137,45.7,1245.0,29.67555555555556,36.35055555555556
35,D08A144,69.0,900.0,29.30111111111111,37.32916666666667
18,D08A094,51.0,150.0,27.93333333333333,37.08333333333334
31,D08A143,247.4,83.0,27.99611111111111,37.06916666666667
4,D08A060,245.0,45.0,27.75,37.2
31,D08A142,26.2,34.0,27.83444444444444,37.02972222222222
34,D08A145,6.85,3.0,28.3275,37.05
35,D08A146,163.6,375.0,29.04722222222222,37.03555555555555
26,D08A148,58.71,275.0,29.04638888888889,36.81333333333333
23,D08A147,82.49,1155.0,29.62916666666667,37.30666666666666
25,D08A118,46.2,20.0,28.1675,36.82805555555556
30,D08A152,684.0,11.0,27.71222222222222,37.30638888888888
31,D08A153,32.92,1030.0,29.49611111111111,37.52194444444444
32,E08A008,770.0,342.0,30.07444444444445,36.49083333333333
33,E08A009,546.8,1115.0,29.56194444444445,36.82527777777778
34,E08A011,3890.6,595.0,29.10333333333334,37.09388888888889
35,E08A015,2448.0,8.0,29.31666666666667,36.35638888888889
36,E08A018,234.1,110.0,29.40333333333333,36.47333333333334
24,D08A113,36.8,120.0,27.82944444444444,37.15277777777778
34,D08A154,75.86,347.0,27.91027777777778,37.20111111111111
35,D08A155,11.1,38.0,27.67111111111111,37.19694444444444
36,D08A156,802.0,196.0,29.38722222222222,36.7475
39,D08A160,45.5,137.0,28.60083333333333,37.07333333333334
34,D08A151,5152.5,37.0,28.79416666666667,36.83416666666667
40,D08A157,29.14,1210.0,30.00888888888889,36.87
