,stname,area,elev,east,north
0,D07A003,2015.0,837.0,29.8,38.33333333333334
1,D07A004,2957.0,814.0,29.8,38.21666666666667
2,D07A007,974.0,273.0,29.2,37.81666666666667
3,D07A008,265.0,290.0,29.21666666666667,37.81666666666667
4,D07A010,295.7,841.0,30.1,38.11666666666667
5,D07A015,54.0,231.15,27.85,42.1
6,D07A026,293.0,841.0,30.1,38.11666666666667
7,D07A030,96.06,177.0,28.05,38.9
8,D07A032,14193.0,69.0,28.31666666666667,37.88333333333333
9,D07A035,1462.0,152.0,28.13333333333333,37.5
10,D07A039,90.5,73.0,27.61666666666667,37.88333333333333
11,D07A052,275.6,980.0,29.98944444444444,38.505
12,D07A053,100.0,829.0,29.85,38.31666666666667
13,D07A059,1726.0,160.0,29.05,37.91666666666666
14,D07A061,589.8,199.38,28.6,37.8
15,D07A062,22653.0,17.0,27.7,37.81666666666667
16,D07A065,9006.0,307.0,29.2,38.13333333333333
17,D07A071,4203.0,758.0,29.43333333333333,38.05
18,D07A075,215.3,1010.0,30.20111111111111,38.12
19,D07A079,123.0,365.0,28.1,37.3
20,D07A081,11852.0,130.0,26.91666666666667,37.95
21,D07A082,184.0,1110.0,28.03333333333333,37.75
22,D07A083,668.3,855.0,28.91666666666667,37.58333333333334
23,D07A087,46.2,1067.0,30.07583333333333,38.38888888888889
24,D07A093,34.5,0.0,28.8,37.7
25,D07A096,41.0,450.0,28.13333333333333,37.25
26,D07A097,70.0,425.0,28.2,37.33333333333334
27,D07A098,30.0,500.0,28.25,37.28333333333333
28,D07A099,63.0,395.0,28.2,37.3
29,D07A100,63.5,336.0,28.0,37.4
30,D07A102,40.0,640.0,28.73333333333333,37.75
31,D07A103,212.0,15.0,27.53333333333333,37.71666666666667
32,D07A107,37.5,0.0,27.73333333333333,37.88333333333333
33,D07A108,30.0,160.0,27.53333333333333,37.56666666666667
34,D07A109,41.8,120.0,27.7,37.9
35,D07A111,36.0,1067.0,30.08055555555556,38.38194444444444
36,D07A114,87.3,140.0,28.38333333333333,37.61666666666667
27,D07A112,368.9,1005.1,30.21805555555556,38.0675
5,D07A014,165.0,67.0,27.73333333333333,37.88333333333333
5,D07A054,100.0,829.0,29.85,38.31666666666667
24,D07A106,179.0,690.0,29.51666666666667,37.78333333333333
30,D07A121,55.2,249.0,28.52666666666667,37.93138888888889
4,D07A009,2750.0,28.0,27.835,37.7625
30,D07A115,11852.0,160.0,28.96972222222222,38.05194444444444
31,D07A120,368.9,1005.0,30.20444444444444,38.07611111111112
33,D07A122,139.64,958.0,29.73694444444445,38.78055555555555
32,D07A124,18.0,1316.0,30.38555555555556,38.30916666666666
15,D07A123,20.81,1134.0,29.78777777777778,38.85527777777778
24,D07A125,1234.0,275.0,29.22694444444444,37.80222222222222
25,D07A127,191.51,569.0,29.06111111111111,38.33194444444445
30,D07A129,15.7,1145.0,29.91833333333333,38.79277777777778
31,D07A130,74.4,49.0,27.54333333333334,37.88055555555555
32,E07A001,948.0,262.0,28.13055555555556,37.42111111111111
33,E07A004,3138.0,155.0,28.48027777777778,37.6075
34,E07A006,19595.6,25.0,27.84027777777778,37.78333333333333
35,E07A012,12798.8,120.0,28.74361111111111,37.94833333333333
36,E07A013,3945.6,802.0,29.64,38.15694444444444
37,E07A032,854.8,409.0,28.72444444444444,37.33555555555556
38,E07A033,236.0,384.0,28.56083333333333,37.43055555555555
39,E07A034,2839.6,26.0,27.83444444444444,37.76388888888889
40,E07A037,169.7,478.0,28.61555555555556,37.26194444444445
41,E07A038,100.1,132.0,28.025,37.9075
42,E07A042,2285.5,531.0,29.30638888888889,38.37305555555555
43,E07A043,9731.0,176.0,29.00527777777778,38.07888888888889
44,E07A044,411.0,855.0,28.96277777777778,37.55888888888889
7,D07A070,3810.0,55.0,28.31444444444444,37.81277777777778
32,D07A131,1560.0,69.0,28.06472222222222,37.54333333333333
28,D07A132,26.9,,29.76527777777778,38.84138888888889
29,D07A134,54.98,1150.0,29.52583333333333,37.6475
