stname,Unnamed: 0,area,elev,east,north
D17A007,0,599.0,132,34.76833333333333,37.03055555555555
D17A011,1,410.0,125,34.55305555555555,36.86166666666666
D17A012,2,156.4,1297,33.91611111111111,36.76194444444445
D17A016,4,2994.0,233,33.18777777777778,36.78166666666667
D17A017,5,364.0,1241,32.3,37.11666666666667
D17A024,6,194.0,160,33.53694444444444,36.23666666666666
D17A027,7,134.0,60,32.35416666666667,36.32611111111112
D17A033,11,588.4,850,32.6,37.05
D17A035,12,491.0,925,32.53333333333333,36.96666666666667
D17A038,14,158.0,35,32.21611111111111,36.44499999999999
D17A039,15,139.34,56,32.37555555555556,36.28888888888888
D17A040,16,380.0,125,34.25416666666667,36.65638888888888
D17A045,19,67.0,460,34.44027777777777,36.89111111111111
D17A034,11,68.0,1075,32.53333333333333,36.95
D17A046,20,268.8,1200,34.16166666666666,36.83750000000001
D17A047,21,91.1,1500,33.89444444444445,36.82916666666667
D17A050,23,1026.0,480,34.10805555555556,36.61611111111111
D17A006,50,331.0,130,34.69083333333333,36.96305555555556
D17A044,19,31.8,15,33.29527777777778,36.13833333333334
D17A049,23,1356.0,10,34.22611111111112,36.57583333333334
