,stname,area,elev,east,north
0,D17A007,599.0,132,34.76833333333333,37.03055555555555
1,D17A011,410.0,125,34.55305555555555,36.86166666666666
2,D17A012,156.4,1297,33.91611111111111,36.76194444444445
3,D17A014,2156.0,509,32.95,36.55
4,D17A016,2994.0,233,33.18777777777778,36.78166666666667
5,D17A017,364.0,1241,32.3,37.11666666666667
6,D17A024,194.0,160,33.53694444444444,36.23666666666666
7,D17A027,134.0,60,32.35416666666667,36.32611111111112
8,D17A029,22.0,100,32.91638888888889,36.18861111111111
9,D17A031,90.0,850,34.50138888888889,36.15
10,D17A032,27.93,80,32.71666666666667,36.11666666666667
11,D17A033,588.4,850,32.6,37.05
12,D17A035,491.0,925,32.53333333333333,36.96666666666667
13,D17A037,42.0,325,34.27527777777777,36.68972222222222
14,D17A038,158.0,35,32.21611111111111,36.44499999999999
15,D17A039,139.34,56,32.37555555555556,36.28888888888888
16,D17A040,380.0,125,34.25416666666667,36.65638888888888
17,D17A041,324.8,20,32.98333333333333,29.6
18,D17A043,265.0,560,34.81027777777778,37.16194444444444
19,D17A045,67.0,460,34.44027777777777,36.89111111111111
11,D17A034,68.0,1075,32.53333333333333,36.95
13,D17A036,31.0,120,34.74666666666667,36.97305555555555
18,D17A042,1000.0,0,0.0,0.0
20,D17A046,268.8,1200,34.16166666666666,36.83750000000001
21,D17A047,91.1,1500,33.89444444444445,36.82916666666667
22,D17A048,0.0,0,0.0,0.0
23,D17A050,1026.0,480,34.10805555555556,36.61611111111111
0,D17A006,331.0,130,34.69083333333333,36.96305555555556
19,D17A044,31.8,15,33.29527777777778,36.13833333333334
23,D17A049,1356.0,10,34.22611111111112,36.57583333333334
20,D17A051,502.0,180,36.44638888888888,36.71527777777778
24,D17A053,9765.0,58,33.64555555555555,36.44194444444444
23,D17A054,340.0,615,34.53111111111111,37.12083333333334
24,D17A055,78.9,328,34.32361111111111,36.74194444444444
25,E17A012,2689.2,397,33.02583333333333,36.63527777777778
26,E17A014,10065.2,24,33.81555555555556,36.40361111111111
27,E17A020,4304.0,127,33.36944444444445,36.63583333333333
28,E17A021,313.2,37,32.89555555555555,36.17583333333333
29,E17A025,203.0,1031,32.65666666666667,36.61555555555556
30,E17A029,9.5,635,32.77833333333333,36.31666666666667
31,E17A030,60.0,225,32.81388888888888,36.2625
32,E17A032,301.0,443,34.72277777777778,37.16472222222222
33,E17A033,217.6,730,34.63916666666667,37.22555555555556
34,E17A037,706.8,230,33.59916666666667,36.58111111111111
35,E17A039,159.8,590,34.33361111111111,36.865
27,E17A017,1005.2,975,34.00555555555555,36.66
26,D17A056,134.5,118,32.60277777777778,36.15861111111111
35,E17A038,109.8,960,32.81,36.97638888888889
37,E17A041,311.7,1180,32.45083333333334,36.69083333333333
35,E17A042,903.2,723,32.68111111111111,36.56861111111112
